Country Code,Year,Old Value,New Value
SWZ,1960,,
SXM,1960,,
SYC,1960,,
SYR,1960,,
TCA,1960,,
TCD,1960,,
TEA,1960,,
TEC,1960,,
TGO,1960,,
THA,1960,,
TJK,1960,,
TKM,1960,,
TLA,1960,,
TLS,1960,,
TMN,1960,,
TON,1960,,
TSA,1960,,
TSS,1960,,
TTO,1960,,
TUN,1960,,
TUR,1960,,
TUV,1960,,
TZA,1960,,
UGA,1960,,
UKR,1960,,
UMC,1960,,
URY,1960,,
USA,1960,,
UZB,1960,,
VCT,1960,,
VEN,1960,,
VGB,1960,,
VIR,1960,,
VNM,1960,,
VUT,1960,,
WLD,1960,,
WSM,1960,,
XKX,1960,,
YEM,1960,,
ZAF,1960,,
ZMB,1960,,
ZWE,1960,,
ABW,1961,,
AFE,1961,,
AFG,1961,,
AFW,1961,,
AGO,1961,,
ALB,1961,,
AND,1961,,
ARB,1961,,
ARE,1961,,
ARG,1961,,
ARM,1961,,
ASM,1961,,
ATG,1961,,
AUS,1961,,
AUT,1961,,
AZE,1961,,
BDI,1961,,
BEL,1961,,
BEN,1961,,
BFA,1961,,
BGD,1961,,
BGR,1961,,
BHR,1961,,
BHS,1961,,
BIH,1961,,
BLR,1961,,
BLZ,1961,,
BMU,1961,,
BOL,1961,,
BRA,1961,,
BRB,1961,,
BRN,1961,,
BTN,1961,,
BWA,1961,,
CAF,1961,,
CAN,1961,,
CEB,1961,,
CHE,1961,,
CHI,1961,,
CHL,1961,,
CHN,1961,,
CIV,1961,,
CMR,1961,,
COD,1961,,
COG,1961,,
COL,1961,,
COM,1961,,
CPV,1961,,
CRI,1961,,
CSS,1961,,
CUB,1961,,
CUW,1961,,
CYM,1961,,
CYP,1961,,
CZE,1961,,
DEU,1961,,
DJI,1961,,
DMA,1961,,
DNK,1961,,
DOM,1961,,
DZA,1961,,
EAP,1961,,
EAR,1961,,
EAS,1961,,
ECA,1961,,
ECS,1961,,
ECU,1961,,
EGY,1961,,
EMU,1961,,
ERI,1961,,
ESP,1961,,
EST,1961,,
ETH,1961,,
EUU,1961,,
FCS,1961,,
FIN,1961,,
FJI,1961,,
FRA,1961,,
FRO,1961,,
FSM,1961,,
GAB,1961,,
GBR,1961,,
GEO,1961,,
GHA,1961,,
GIB,1961,,
GIN,1961,,
GMB,1961,,
GNB,1961,,
GNQ,1961,,
GRC,1961,,
GRD,1961,,
GRL,1961,,
GTM,1961,,
GUM,1961,,
GUY,1961,,
HIC,1961,,
HKG,1961,,
HND,1961,,
HPC,1961,,
HRV,1961,,
HTI,1961,,
HUN,1961,,
IBD,1961,,
IBT,1961,,
IDA,1961,,
IDB,1961,,
IDN,1961,,
IDX,1961,,
IMN,1961,,
IND,1961,,
INX,1961,,
IRL,1961,,
IRN,1961,,
IRQ,1961,,
ISL,1961,,
ISR,1961,,
ITA,1961,,
JAM,1961,,
JOR,1961,,
JPN,1961,,
KAZ,1961,,
KEN,1961,,
KGZ,1961,,
KHM,1961,,
KIR,1961,,
KNA,1961,,
KOR,1961,,
KWT,1961,,
LAC,1961,,
LAO,1961,,
LBN,1961,,
LBR,1961,,
LBY,1961,,
LCA,1961,,
LCN,1961,,
LDC,1961,,
LIC,1961,,
LIE,1961,,
LKA,1961,,
LMC,1961,,
LMY,1961,,
LSO,1961,,
LTE,1961,,
LTU,1961,,
LUX,1961,,
LVA,1961,,
MAC,1961,,
MAF,1961,,
MAR,1961,,
MCO,1961,,
MDA,1961,,
MDG,1961,,
MDV,1961,,
MEA,1961,,
MEX,1961,,
MHL,1961,,
MIC,1961,,
MKD,1961,,
MLI,1961,,
MLT,1961,,
MMR,1961,,
MNA,1961,,
MNE,1961,,
MNG,1961,,
MNP,1961,,
MOZ,1961,,
MRT,1961,,
MUS,1961,,
MWI,1961,,
MYS,1961,,
NAC,1961,,
NAM,1961,,
NCL,1961,,
NER,1961,,
NGA,1961,,
NIC,1961,,
NLD,1961,,
NOR,1961,,
NPL,1961,,
NRU,1961,,
NZL,1961,,
OED,1961,,
OMN,1961,,
OSS,1961,,
PAK,1961,,
PAN,1961,,
PER,1961,,
PHL,1961,,
PLW,1961,,
PNG,1961,,
POL,1961,,
PRE,1961,,
PRI,1961,,
PRK,1961,,
PRT,1961,,
PRY,1961,,
PSE,1961,,
PSS,1961,,
PST,1961,,
PYF,1961,,
QAT,1961,,
ROU,1961,,
RUS,1961,,
RWA,1961,,
SAS,1961,,
SAU,1961,,
SDN,1961,,
SEN,1961,,
SGP,1961,,
SLB,1961,,
SLE,1961,,
SLV,1961,,
SMR,1961,,
SOM,1961,,
SRB,1961,,
SSA,1961,,
SSD,1961,,
SSF,1961,,
SST,1961,,
STP,1961,,
SUR,1961,,
SVK,1961,,
SVN,1961,,
SWE,1961,,
SWZ,1961,,
SXM,1961,,
SYC,1961,,
SYR,1961,,
TCA,1961,,
TCD,1961,,
TEA,1961,,
TEC,1961,,
TGO,1961,,
THA,1961,,
TJK,1961,,
TKM,1961,,
TLA,1961,,
TLS,1961,,
TMN,1961,,
TON,1961,,
TSA,1961,,
TSS,1961,,
TTO,1961,,
TUN,1961,,
TUR,1961,,
TUV,1961,,
TZA,1961,,
UGA,1961,,
UKR,1961,,
UMC,1961,,
URY,1961,,
USA,1961,,
UZB,1961,,
VCT,1961,,
VEN,1961,,
VGB,1961,,
VIR,1961,,
VNM,1961,,
VUT,1961,,
WLD,1961,,
WSM,1961,,
XKX,1961,,
YEM,1961,,
ZAF,1961,,
ZMB,1961,,
ZWE,1961,,
ABW,1962,,
AFE,1962,,
AFG,1962,,
AFW,1962,,
AGO,1962,,
ALB,1962,,
AND,1962,,
ARB,1962,,
ARE,1962,,
ARG,1962,,
ARM,1962,,
ASM,1962,,
ATG,1962,,
AUS,1962,,
AUT,1962,,
AZE,1962,,
BDI,1962,,
BEL,1962,,
BEN,1962,,
BFA,1962,,
BGD,1962,,
BGR,1962,,
BHR,1962,,
BHS,1962,,
BIH,1962,,
BLR,1962,,
BLZ,1962,,
BMU,1962,,
BOL,1962,,
BRA,1962,,
BRB,1962,,
BRN,1962,,
BTN,1962,,
BWA,1962,,
CAF,1962,,
CAN,1962,,
CEB,1962,,
CHE,1962,,
CHI,1962,,
CHL,1962,,
CHN,1962,,
CIV,1962,,
CMR,1962,,
COD,1962,,
COG,1962,,
COL,1962,,
COM,1962,,
CPV,1962,,
CRI,1962,,
CSS,1962,,
CUB,1962,,
CUW,1962,,
CYM,1962,,
CYP,1962,,
CZE,1962,,
DEU,1962,,
DJI,1962,,
DMA,1962,,
DNK,1962,,
DOM,1962,,
DZA,1962,,
EAP,1962,,
EAR,1962,,
EAS,1962,,
ECA,1962,,
ECS,1962,,
ECU,1962,,
EGY,1962,,
EMU,1962,,
ERI,1962,,
ESP,1962,,
EST,1962,,
ETH,1962,,
EUU,1962,,
FCS,1962,,
FIN,1962,,
FJI,1962,,
FRA,1962,,
FRO,1962,,
FSM,1962,,
GAB,1962,,
GBR,1962,,
GEO,1962,,
GHA,1962,,
GIB,1962,,
GIN,1962,,
GMB,1962,,
GNB,1962,,
GNQ,1962,,
GRC,1962,,
GRD,1962,,
GRL,1962,,
GTM,1962,,
GUM,1962,,
GUY,1962,,
HIC,1962,,
HKG,1962,,
HND,1962,,
HPC,1962,,
HRV,1962,,
HTI,1962,,
HUN,1962,,
IBD,1962,,
IBT,1962,,
IDA,1962,,
IDB,1962,,
IDN,1962,,
IDX,1962,,
IMN,1962,,
IND,1962,,
INX,1962,,
IRL,1962,,
IRN,1962,,
IRQ,1962,,
ISL,1962,,
ISR,1962,,
ITA,1962,,
JAM,1962,,
JOR,1962,,
JPN,1962,,
KAZ,1962,,
KEN,1962,,
KGZ,1962,,
KHM,1962,,
KIR,1962,,
KNA,1962,,
KOR,1962,,
KWT,1962,,
LAC,1962,,
LAO,1962,,
LBN,1962,,
LBR,1962,,
LBY,1962,,
LCA,1962,,
LCN,1962,,
LDC,1962,,
LIC,1962,,
LIE,1962,,
LKA,1962,,
LMC,1962,,
LMY,1962,,
LSO,1962,,
LTE,1962,,
LTU,1962,,
LUX,1962,,
LVA,1962,,
MAC,1962,,
MAF,1962,,
MAR,1962,,
MCO,1962,,
MDA,1962,,
MDG,1962,,
MDV,1962,,
MEA,1962,,
MEX,1962,,
MHL,1962,,
MIC,1962,,
MKD,1962,,
MLI,1962,,
MLT,1962,,
MMR,1962,,
MNA,1962,,
MNE,1962,,
MNG,1962,,
MNP,1962,,
MOZ,1962,,
MRT,1962,,
MUS,1962,,
MWI,1962,,
MYS,1962,,
NAC,1962,,
NAM,1962,,
NCL,1962,,
NER,1962,,
NGA,1962,,
NIC,1962,,
NLD,1962,,
NOR,1962,,
NPL,1962,,
NRU,1962,,
NZL,1962,,
OED,1962,,
OMN,1962,,
OSS,1962,,
PAK,1962,,
PAN,1962,,
PER,1962,,
PHL,1962,,
PLW,1962,,
PNG,1962,,
POL,1962,,
PRE,1962,,
PRI,1962,,
PRK,1962,,
PRT,1962,,
PRY,1962,,
PSE,1962,,
PSS,1962,,
PST,1962,,
PYF,1962,,
QAT,1962,,
ROU,1962,,
RUS,1962,,
RWA,1962,,
SAS,1962,,
SAU,1962,,
SDN,1962,,
SEN,1962,,
SGP,1962,,
SLB,1962,,
SLE,1962,,
SLV,1962,,
SMR,1962,,
SOM,1962,,
SRB,1962,,
SSA,1962,,
SSD,1962,,
SSF,1962,,
SST,1962,,
STP,1962,,
SUR,1962,,
SVK,1962,,
SVN,1962,,
SWE,1962,,
SWZ,1962,,
SXM,1962,,
SYC,1962,,
SYR,1962,,
TCA,1962,,
TCD,1962,,
TEA,1962,,
TEC,1962,,
TGO,1962,,
THA,1962,,
TJK,1962,,
TKM,1962,,
TLA,1962,,
TLS,1962,,
TMN,1962,,
TON,1962,,
TSA,1962,,
TSS,1962,,
TTO,1962,,
TUN,1962,,
TUR,1962,,
TUV,1962,,
TZA,1962,,
UGA,1962,,
UKR,1962,,
UMC,1962,,
URY,1962,,
USA,1962,,
UZB,1962,,
VCT,1962,,
VEN,1962,,
VGB,1962,,
VIR,1962,,
VNM,1962,,
VUT,1962,,
WLD,1962,,
WSM,1962,,
XKX,1962,,
YEM,1962,,
ZAF,1962,,
ZMB,1962,,
ZWE,1962,,
ABW,1963,,
AFE,1963,,
AFG,1963,,
AFW,1963,,
AGO,1963,,
ALB,1963,,
AND,1963,,
ARB,1963,,
ARE,1963,,
ARG,1963,,
ARM,1963,,
ASM,1963,,
ATG,1963,,
AUS,1963,,
AUT,1963,,
AZE,1963,,
BDI,1963,,
BEL,1963,,
BEN,1963,,
BFA,1963,,
BGD,1963,,
BGR,1963,,
BHR,1963,,
BHS,1963,,
BIH,1963,,
BLR,1963,,
BLZ,1963,,
BMU,1963,,
BOL,1963,,
BRA,1963,,
BRB,1963,,
BRN,1963,,
BTN,1963,,
BWA,1963,,
CAF,1963,,
CAN,1963,,
CEB,1963,,
CHE,1963,,
CHI,1963,,
CHL,1963,,
CHN,1963,,
CIV,1963,,
CMR,1963,,
COD,1963,,
COG,1963,,
COL,1963,,
COM,1963,,
CPV,1963,,
CRI,1963,,
CSS,1963,,
CUB,1963,,
CUW,1963,,
CYM,1963,,
CYP,1963,,
CZE,1963,,
DEU,1963,,
DJI,1963,,
DMA,1963,,
DNK,1963,,
DOM,1963,,
DZA,1963,,
EAP,1963,,
EAR,1963,,
EAS,1963,,
ECA,1963,,
ECS,1963,,
ECU,1963,,
EGY,1963,,
EMU,1963,,
ERI,1963,,
ESP,1963,,
EST,1963,,
ETH,1963,,
EUU,1963,,
FCS,1963,,
FIN,1963,,
FJI,1963,,
FRA,1963,,
FRO,1963,,
FSM,1963,,
GAB,1963,,
GBR,1963,,
GEO,1963,,
GHA,1963,,
GIB,1963,,
GIN,1963,,
GMB,1963,,
GNB,1963,,
GNQ,1963,,
GRC,1963,,
GRD,1963,,
GRL,1963,,
GTM,1963,,
GUM,1963,,
GUY,1963,,
HIC,1963,,
HKG,1963,,
HND,1963,,
HPC,1963,,
HRV,1963,,
HTI,1963,,
HUN,1963,,
IBD,1963,,
IBT,1963,,
IDA,1963,,
IDB,1963,,
IDN,1963,,
IDX,1963,,
IMN,1963,,
IND,1963,,
INX,1963,,
IRL,1963,,
IRN,1963,,
IRQ,1963,,
ISL,1963,,
ISR,1963,,
ITA,1963,,
JAM,1963,,
JOR,1963,,
JPN,1963,,
KAZ,1963,,
KEN,1963,,
KGZ,1963,,
KHM,1963,,
KIR,1963,,
KNA,1963,,
KOR,1963,,
KWT,1963,,
LAC,1963,,
LAO,1963,,
LBN,1963,,
LBR,1963,,
LBY,1963,,
LCA,1963,,
LCN,1963,,
LDC,1963,,
LIC,1963,,
LIE,1963,,
LKA,1963,,
LMC,1963,,
LMY,1963,,
LSO,1963,,
LTE,1963,,
LTU,1963,,
LUX,1963,,
LVA,1963,,
MAC,1963,,
MAF,1963,,
MAR,1963,,
MCO,1963,,
MDA,1963,,
MDG,1963,,
MDV,1963,,
MEA,1963,,
MEX,1963,,
MHL,1963,,
MIC,1963,,
MKD,1963,,
MLI,1963,,
MLT,1963,,
MMR,1963,,
MNA,1963,,
MNE,1963,,
MNG,1963,,
MNP,1963,,
MOZ,1963,,
MRT,1963,,
MUS,1963,,
MWI,1963,,
MYS,1963,,
NAC,1963,,
NAM,1963,,
NCL,1963,,
NER,1963,,
NGA,1963,,
NIC,1963,,
NLD,1963,,
NOR,1963,,
NPL,1963,,
NRU,1963,,
NZL,1963,,
OED,1963,,
OMN,1963,,
OSS,1963,,
PAK,1963,,
PAN,1963,,
PER,1963,,
PHL,1963,,
PLW,1963,,
PNG,1963,,
POL,1963,,
PRE,1963,,
PRI,1963,,
PRK,1963,,
PRT,1963,,
PRY,1963,,
PSE,1963,,
PSS,1963,,
PST,1963,,
PYF,1963,,
QAT,1963,,
ROU,1963,,
RUS,1963,,
RWA,1963,,
SAS,1963,,
SAU,1963,,
SDN,1963,,
SEN,1963,,
SGP,1963,,
SLB,1963,,
SLE,1963,,
SLV,1963,,
SMR,1963,,
SOM,1963,,
SRB,1963,,
SSA,1963,,
SSD,1963,,
SSF,1963,,
SST,1963,,
STP,1963,,
SUR,1963,,
SVK,1963,,
SVN,1963,,
SWE,1963,,
SWZ,1963,,
SXM,1963,,
SYC,1963,,
SYR,1963,,
TCA,1963,,
TCD,1963,,
TEA,1963,,
TEC,1963,,
TGO,1963,,
THA,1963,,
TJK,1963,,
TKM,1963,,
TLA,1963,,
TLS,1963,,
TMN,1963,,
TON,1963,,
TSA,1963,,
TSS,1963,,
TTO,1963,,
TUN,1963,,
TUR,1963,,
TUV,1963,,
TZA,1963,,
UGA,1963,,
UKR,1963,,
UMC,1963,,
URY,1963,,
USA,1963,,
UZB,1963,,
VCT,1963,,
VEN,1963,,
VGB,1963,,
VIR,1963,,
VNM,1963,,
VUT,1963,,
WLD,1963,,
WSM,1963,,
XKX,1963,,
YEM,1963,,
ZAF,1963,,
ZMB,1963,,
ZWE,1963,,
ABW,1964,,
AFE,1964,,
AFG,1964,,
AFW,1964,,
AGO,1964,,
ALB,1964,,
AND,1964,,
ARB,1964,,
ARE,1964,,
ARG,1964,,
ARM,1964,,
ASM,1964,,
ATG,1964,,
AUS,1964,,
AUT,1964,,
AZE,1964,,
BDI,1964,,
BEL,1964,,
BEN,1964,,
BFA,1964,,
BGD,1964,,
BGR,1964,,
BHR,1964,,
BHS,1964,,
BIH,1964,,
BLR,1964,,
BLZ,1964,,
BMU,1964,,
BOL,1964,,
BRA,1964,,
BRB,1964,,
BRN,1964,,
BTN,1964,,
BWA,1964,,
CAF,1964,,
CAN,1964,,
CEB,1964,,
CHE,1964,,
CHI,1964,,
CHL,1964,,
CHN,1964,,
CIV,1964,,
CMR,1964,,
COD,1964,,
COG,1964,,
COL,1964,,
COM,1964,,
CPV,1964,,
CRI,1964,,
CSS,1964,,
CUB,1964,,
CUW,1964,,
CYM,1964,,
CYP,1964,,
CZE,1964,,
DEU,1964,,
DJI,1964,,
DMA,1964,,
DNK,1964,,
DOM,1964,,
DZA,1964,,
EAP,1964,,
EAR,1964,,
EAS,1964,,
ECA,1964,,
ECS,1964,,
ECU,1964,,
EGY,1964,,
EMU,1964,,
ERI,1964,,
ESP,1964,,
EST,1964,,
ETH,1964,,
EUU,1964,,
FCS,1964,,
FIN,1964,,
FJI,1964,,
FRA,1964,,
FRO,1964,,
FSM,1964,,
GAB,1964,,
GBR,1964,,
GEO,1964,,
GHA,1964,,
GIB,1964,,
GIN,1964,,
GMB,1964,,
GNB,1964,,
GNQ,1964,,
GRC,1964,,
GRD,1964,,
GRL,1964,,
GTM,1964,,
GUM,1964,,
GUY,1964,,
HIC,1964,,
HKG,1964,,
HND,1964,,
HPC,1964,,
HRV,1964,,
HTI,1964,,
HUN,1964,,
IBD,1964,,
IBT,1964,,
IDA,1964,,
IDB,1964,,
IDN,1964,,
IDX,1964,,
IMN,1964,,
IND,1964,,
INX,1964,,
IRL,1964,,
IRN,1964,,
IRQ,1964,,
ISL,1964,,
ISR,1964,,
ITA,1964,,
JAM,1964,,
JOR,1964,,
JPN,1964,,
KAZ,1964,,
KEN,1964,,
KGZ,1964,,
KHM,1964,,
KIR,1964,,
KNA,1964,,
KOR,1964,,
KWT,1964,,
LAC,1964,,
LAO,1964,,
LBN,1964,,
LBR,1964,,
LBY,1964,,
LCA,1964,,
LCN,1964,,
LDC,1964,,
LIC,1964,,
LIE,1964,,
LKA,1964,,
LMC,1964,,
LMY,1964,,
LSO,1964,,
LTE,1964,,
LTU,1964,,
LUX,1964,,
LVA,1964,,
MAC,1964,,
MAF,1964,,
MAR,1964,,
MCO,1964,,
MDA,1964,,
MDG,1964,,
MDV,1964,,
MEA,1964,,
MEX,1964,,
MHL,1964,,
MIC,1964,,
MKD,1964,,
MLI,1964,,
MLT,1964,,
MMR,1964,,
MNA,1964,,
MNE,1964,,
MNG,1964,,
MNP,1964,,
MOZ,1964,,
MRT,1964,,
MUS,1964,,
MWI,1964,,
MYS,1964,,
NAC,1964,,
NAM,1964,,
NCL,1964,,
NER,1964,,
NGA,1964,,
NIC,1964,,
NLD,1964,,
NOR,1964,,
NPL,1964,,
NRU,1964,,
NZL,1964,,
OED,1964,,
OMN,1964,,
OSS,1964,,
PAK,1964,,
PAN,1964,,
PER,1964,,
PHL,1964,,
PLW,1964,,
PNG,1964,,
POL,1964,,
PRE,1964,,
PRI,1964,,
PRK,1964,,
PRT,1964,,
PRY,1964,,
PSE,1964,,
PSS,1964,,
PST,1964,,
PYF,1964,,
QAT,1964,,
ROU,1964,,
RUS,1964,,
RWA,1964,,
SAS,1964,,
SAU,1964,,
SDN,1964,,
SEN,1964,,
SGP,1964,,
SLB,1964,,
SLE,1964,,
SLV,1964,,
SMR,1964,,
SOM,1964,,
SRB,1964,,
SSA,1964,,
SSD,1964,,
SSF,1964,,
SST,1964,,
STP,1964,,
SUR,1964,,
SVK,1964,,
SVN,1964,,
SWE,1964,,
SWZ,1964,,
SXM,1964,,
SYC,1964,,
SYR,1964,,
TCA,1964,,
TCD,1964,,
TEA,1964,,
TEC,1964,,
TGO,1964,,
THA,1964,,
TJK,1964,,
TKM,1964,,
TLA,1964,,
TLS,1964,,
TMN,1964,,
TON,1964,,
TSA,1964,,
TSS,1964,,
TTO,1964,,
TUN,1964,,
TUR,1964,,
TUV,1964,,
TZA,1964,,
UGA,1964,,
UKR,1964,,
UMC,1964,,
URY,1964,,
USA,1964,,
UZB,1964,,
VCT,1964,,
VEN,1964,,
VGB,1964,,
VIR,1964,,
VNM,1964,,
VUT,1964,,
WLD,1964,,
WSM,1964,,
XKX,1964,,
YEM,1964,,
ZAF,1964,,
ZMB,1964,,
ZWE,1964,,
ABW,1965,,
AFE,1965,,
AFG,1965,,
AFW,1965,,
AGO,1965,,
ALB,1965,,
AND,1965,,
ARB,1965,,
ARE,1965,,
ARG,1965,,
ARM,1965,,
ASM,1965,,
ATG,1965,,
AUS,1965,,
AUT,1965,,
AZE,1965,,
BDI,1965,,
BEL,1965,,
BEN,1965,,
BFA,1965,,
BGD,1965,,
BGR,1965,,
BHR,1965,,
BHS,1965,,
BIH,1965,,
BLR,1965,,
BLZ,1965,,
BMU,1965,,
BOL,1965,,
BRA,1965,,
BRB,1965,,
BRN,1965,,
BTN,1965,,
BWA,1965,,
CAF,1965,,
CAN,1965,,
CEB,1965,,
CHE,1965,,
CHI,1965,,
CHL,1965,,
CHN,1965,,
CIV,1965,,
CMR,1965,,
COD,1965,,
COG,1965,,
COL,1965,,
COM,1965,,
CPV,1965,,
CRI,1965,,
CSS,1965,,
CUB,1965,,
CUW,1965,,
CYM,1965,,
CYP,1965,,
CZE,1965,,
DEU,1965,,
DJI,1965,,
DMA,1965,,
DNK,1965,,
DOM,1965,,
DZA,1965,,
EAP,1965,,
EAR,1965,,
EAS,1965,,
ECA,1965,,
ECS,1965,,
ECU,1965,,
EGY,1965,,
EMU,1965,,
ERI,1965,,
ESP,1965,,
EST,1965,,
ETH,1965,,
EUU,1965,,
FCS,1965,,
FIN,1965,,
FJI,1965,,
FRA,1965,,
FRO,1965,,
FSM,1965,,
GAB,1965,,
GBR,1965,,
GEO,1965,,
GHA,1965,,
GIB,1965,,
GIN,1965,,
GMB,1965,,
GNB,1965,,
GNQ,1965,,
GRC,1965,,
GRD,1965,,
GRL,1965,,
GTM,1965,,
GUM,1965,,
GUY,1965,,
HIC,1965,,
HKG,1965,,
HND,1965,,
HPC,1965,,
HRV,1965,,
HTI,1965,,
HUN,1965,,
IBD,1965,,
IBT,1965,,
IDA,1965,,
IDB,1965,,
IDN,1965,,
IDX,1965,,
IMN,1965,,
IND,1965,,
INX,1965,,
IRL,1965,,
IRN,1965,,
IRQ,1965,,
ISL,1965,,
ISR,1965,,
ITA,1965,,
JAM,1965,,
JOR,1965,,
JPN,1965,,
KAZ,1965,,
KEN,1965,,
KGZ,1965,,
KHM,1965,,
KIR,1965,,
KNA,1965,,
KOR,1965,,
KWT,1965,,
LAC,1965,,
LAO,1965,,
LBN,1965,,
LBR,1965,,
LBY,1965,,
LCA,1965,,
LCN,1965,,
LDC,1965,,
LIC,1965,,
LIE,1965,,
LKA,1965,,
LMC,1965,,
LMY,1965,,
LSO,1965,,
LTE,1965,,
LTU,1965,,
LUX,1965,,
LVA,1965,,
MAC,1965,,
MAF,1965,,
MAR,1965,,
MCO,1965,,
MDA,1965,,
MDG,1965,,
MDV,1965,,
MEA,1965,,
MEX,1965,,
MHL,1965,,
MIC,1965,,
MKD,1965,,
MLI,1965,,
MLT,1965,,
MMR,1965,,
MNA,1965,,
MNE,1965,,
MNG,1965,,
MNP,1965,,
MOZ,1965,,
MRT,1965,,
MUS,1965,,
MWI,1965,,
MYS,1965,,
NAC,1965,,
NAM,1965,,
NCL,1965,,
NER,1965,,
NGA,1965,,
NIC,1965,,
NLD,1965,,
NOR,1965,,
NPL,1965,,
NRU,1965,,
NZL,1965,,
OED,1965,,
OMN,1965,,
OSS,1965,,
PAK,1965,,
PAN,1965,,
PER,1965,,
PHL,1965,,
PLW,1965,,
PNG,1965,,
POL,1965,,
PRE,1965,,
PRI,1965,,
PRK,1965,,
PRT,1965,,
PRY,1965,,
PSE,1965,,
PSS,1965,,
PST,1965,,
PYF,1965,,
QAT,1965,,
ROU,1965,,
RUS,1965,,
RWA,1965,,
SAS,1965,,
SAU,1965,,
SDN,1965,,
SEN,1965,,
SGP,1965,,
SLB,1965,,
SLE,1965,,
SLV,1965,,
SMR,1965,,
SOM,1965,,
SRB,1965,,
SSA,1965,,
SSD,1965,,
SSF,1965,,
SST,1965,,
STP,1965,,
SUR,1965,,
SVK,1965,,
SVN,1965,,
SWE,1965,,
SWZ,1965,,
SXM,1965,,
SYC,1965,,
SYR,1965,,
